ID,geo_Breite,geo_Länge,PLZ
2925,51.3933,10.3123,37327
2928,51.3151,12.4462,04288
2931,51.3920,12.3962,04356
2932,51.4348,12.2396,04435
2947,51.1333,8.0348,57368
2949,48.5396,9.5275,73252
2950,54.2190,10.8844,23738
2951,53.1007,11.4864,19309
2953,47.8597,8.2308,79853
2961,54.4996,10.2737,24229
2963,51.3167,12.0333,06237
2968,50.9894,6.9777,51061
2985,50.9383,14.2093,01855
2996,48.7726,8.7287,75378
3001,48.0674,7.6770,79241
3004,50.4116,8.0605,65555
3007,49.4111,8.3980,67117
3015,52.2085,14.1180,15848
3016,47.5980,9.8878,88161
3017,49.6800,8.7823,64678
3018,49.7117,8.7804,64678
3023,52.5181,7.3081,49808
3028,51.7855,8.8388,33175
3031,51.6336,8.3945,59558
3032,55.0110,8.4125,25992
3034,50.4505,11.6350,07356
3042,50.5617,8.2386,35792
3044,52.7198,7.7472,49624
3045,52.7432,7.8763,49624
3056,50.0103,9.6100,97816
3062,50.0352,7.8197,65391
3076,49.4606,8.4246,67065
3082,51.9333,13.8833,15907
3083,51.9267,13.8797,15907
3085,53.8773,10.6915,23568
3086,53.8025,10.6988,23560
3088,53.8953,10.7040,23568
3093,52.9724,11.1374,29439
3096,51.2131,7.6359,58511
3098,51.2452,7.6425,58513
3101,51.7694,7.4128,59348
3103,53.2657,10.4240,21337
3113,50.7663,10.7201,99885
3126,52.1029,11.5827,39116
3135,49.0643,9.5820,74535
3137,49.9656,8.2139,55127
3139,48.2166,11.2965,82216
3147,48.7726,12.2177,84066
3155,50.1015,6.8009,54531
3158,52.5468,14.5452,15328
3160,51.6084,11.4139,06343
3164,50.8492,8.7746,35091
3166,50.6510,13.1469,09496
3167,50.6620,7.9602,56470
3170,54.4937,11.2405,23769
3196,53.3223,11.9319,19376
3204,50.7334,10.8815,98693
3211,48.9359,13.5747,94151
3212,50.3249,7.2300,56727
3222,52.3411,9.1403,31715
3223,47.6985,9.2753,88709
3226,51.7259,11.5109,06449
3227,51.8936,8.9842,32805
3228,51.0976,7.6670,58540
3231,50.5612,10.3771,98617
3234,51.1294,13.4327,01665
3236,52.2044,8.3382,49324
3244,47.9820,10.1384,87700
3245,47.9833,10.2333,87766
3246,50.3667,7.3167,56743
3253,47.8309,8.0699,79837
3254,52.7156,7.3176,49716
3257,49.4773,9.7622,97980
3265,49.9220,9.2872,63875
3268,48.1694,8.9433,72469
3271,48.8548,12.9189,94526
3274,49.5070,6.5215,66693
3278,48.5376,9.2733,72555
3284,49.6691,9.0085,64720
3287,49.7176,9.0997,64720
3289,50.7281,11.7838,07819
3291,49.7120,9.2258,63897
3300,50.2285,9.1064,63584
3307,47.4779,11.2653,82481
3313,49.7328,8.7771,64397
3317,53.6128,10.6943,23879
3319,49.7644,9.2530,63934
3320,51.1970,6.4499,41065
3340,50.4383,7.8061,56410
3348,51.7209,9.8352,37186
3362,48.9721,8.8734,75417
3366,48.2791,12.5024,84453
3370,51.2076,10.3956,99974
3376,52.5176,14.1232,15374
3379,48.1631,11.5429,80637
3382,48.1441,11.6000,81675
3383,48.1635,11.5019,80638
3385,48.1660,11.5011,80638
3388,48.0919,11.6486,81739
3390,48.1369,11.7094,81829
3402,48.3851,9.4837,72525
3404,51.9494,7.5906,48161
3425,48.9729,9.5708,71540
3426,51.5660,14.7009,02953
3432,48.5667,8.7184,72202
3442,50.3574,8.7506,61231
3478,53.5468,13.1914,17039
3484,48.7097,11.2096,86633
3485,48.3115,10.3773,86476
3486,49.2931,9.2722,74861
3490,50.5346,7.0853,53474
3509,53.1020,13.0421,16775
3512,50.5000,11.1500,98724
3513,50.5002,11.1344,98724
3518,47.9760,8.9101,78579
3519,47.9519,8.9932,78579
3527,50.8923,9.4050,34626
3532,54.3609,10.6015,24321
3537,54.0873,9.9791,24537
3540,50.8446,7.3720,53819
3541,50.8956,7.3081,53819
3545,49.3440,7.2297,66539
3552,52.9037,12.8072,16816
3565,49.5728,10.6001,91413
3571,49.8174,11.8638,95514
3575,49.3570,8.1405,67433
3576,49.3478,8.1822,67433
3577,53.3585,13.0502,17235
3578,48.9832,12.1443,93055
3590,50.2335,8.8923,61130
